entry_time,ticker,direction,influence_score,net_return,pnl,relevance_score,signal_sense,signal_reason,tweet_text
2024-11-08 15:09:30,DIA,LONG,0.005,-0.2587,-258.69,0.3,MARGINAL,sentiment_analysis,"There are fake, untrue, and probably illegal rumors and/or statements made by, perhaps, market manipulators or short sellers, that I am interested in selling shares of Truth. THOSE RUMORS OR STATEMENT"
2024-11-08 16:25:41,DIA,LONG,0.005,-1.547,-771.51,0.3,MARGINAL,sentiment_analysis,"There are fake, untrue, and probably illegal rumors and/or statements made by, perhaps, market manipulators or short sellers, that I am interested in selling shares of Truth. THOSE RUMORS OR STATEMENT"
2024-11-18 10:31:27,SPY,LONG,0.000667,1.8464,913.71,0.2,MARGINAL,sentiment_analysis,"Nicole Reinoso has my Complete and Total Endorsement for Doral City Council (Seat 3). Working with Doral???s wonderful Mayor, Christi Fraga, Nicole will help Grow the Economy, Create GREAT Jobs, and D"
2024-11-18 10:31:33,DIA,LONG,0.000778,3.1996,1597.95,0.2,MARGINAL,sentiment_analysis,"Nicole Reinoso has my Complete and Total Endorsement for Doral City Council (Seat 3). Working with Doral???s wonderful Mayor, Christi Fraga, Nicole will help Grow the Economy, Create GREAT Jobs, and D"
2024-11-25 10:31:29,USO,LONG,0.005,-0.6816,-86.46,0.3,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly "
2024-11-11 10:31:36,EWW,LONG,0.005,-4.7525,-2409.41,0.2,MARGINAL,sentiment_analysis,"I am pleased to announce that the Former ICE Director, and stalwart on Border Control, Tom Homan, will be joining the Trump Administration, in charge of our Nation???s Borders (???The Border Czar???),"
2024-11-25 16:40:40,USO,LONG,0.005,-0.7343,-121.14,0.2,MARGINAL,sentiment_analysis,"Jimmy Patronis, Chief Financial Officer for the Great State of Florida, has done a tremendous job as CFO, where he also serves as the State???s Fire Marshall, and as an important member of the Florida"
2024-11-25 10:31:22,SPY,LONG,0.005,0.0551,6.81,0.2,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly "
2024-11-25 10:31:22,TLT,LONG,0.005,-0.0417,-5.15,0.2,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly "
2024-11-25 10:32:05,IEF,LONG,0.005,-0.1788,-22.1,0.2,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly "
2024-11-26 14:26:04,SPY,LONG,0.005,0.6257,77.3,0.2,MARGINAL,sentiment_analysis,"RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Busin"
2024-11-25 16:29:30,DIA,LONG,0.005,0.0068,1.12,0.4,GOOD,sentiment_analysis,"Jimmy Patronis, Chief Financial Officer for the Great State of Florida, has done a tremendous job as CFO, where he also serves as the State???s Fire Marshall, and as an important member of the Florida"
2024-11-29 10:31:36,EWW,LONG,0.005,-0.7834,-129.48,0.5,GOOD,sentiment_analysis,"Just had a wonderful conversation with the new President of Mexico, Claudia Sheinbaum Pardo. She has agreed to stop Migration through Mexico, and into the United States, effectively closing our Southe"
2024-11-26 06:00:54,UUP,LONG,0.005,-0.0367,-12.09,0.2,MARGINAL,sentiment_analysis,"These cases, like all of the other cases I have been forced to go through, are empty and lawless, and should never have been brought. Over $100 Million Dollars of Taxpayer Dollars has been wasted in t"
2024-12-02 10:31:26,DIA,LONG,0.005,0.6648,72.97,0.3,MARGINAL,sentiment_analysis,The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Cu
2024-12-02 10:31:22,SPY,LONG,0.005,0.6944,114.41,0.2,MARGINAL,sentiment_analysis,The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Cu
2024-12-02 10:31:29,EWW,SHORT,-0.005,2.8425,468.86,0.2,MARGINAL,sentiment_analysis,"I just had a very productive meeting with Prime Minister Justin Trudeau of Canada, where we discussed many important topics that will require both Countries to work together to address, like the Fenta"
2024-11-26 14:26:05,TLT,LONG,0.005,2.0332,505.43,0.2,MARGINAL,sentiment_analysis,"RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Busin"
2024-12-04 15:46:59,DIA,LONG,0.005,-0.2417,-120.8,0.7,GOOD,sentiment_analysis,"???.The Senior Counselor position leverages Peter???s broad range of White House experience, while harnessing his extensive Policy analytic and Media skills. His mission will be to help successfully a"
2024-11-26 14:26:38,IEF,LONG,0.005,0.6124,50.94,0.2,MARGINAL,sentiment_analysis,"RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Busin"
2024-12-02 10:32:43,UUP,LONG,0.005,-0.4758,-31.81,0.5,GOOD,sentiment_analysis,The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Cu
2024-11-26 14:26:04,USO,LONG,0.005,-1.5432,-192.59,0.3,MARGINAL,sentiment_analysis,"RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Busin"
2024-12-06 10:31:23,EWW,LONG,0.005,1.3926,154.19,0.4,GOOD,sentiment_analysis,"Page 1:??Commissioner of United States Customs and Border Protection:Rodney S. Scott??Rodney served nearly three decades in the Border Patrol, building vast experience and knowledge in Law Enforcement"
2024-12-06 10:40:16,UUP,LONG,0.005,-0.1602,-26.64,0.2,MARGINAL,sentiment_analysis,"???David Sacks has been an extremely successful entrepreneur and investor for 25 years, building and investing in some of the most iconic companies in Silicon Valley. He was PayPal???s founding-era CO"
2024-12-04 17:26:39,DIA,SHORT,-0.005,-1.3583,-451.74,0.3,MARGINAL,sentiment_analysis,"I am pleased to nominate Gail Slater as Assistant Attorney General for the Antitrust Division at the Department of Justice. Big Tech has run wild for years, stifling competition in our most innovative"
2024-12-09 10:31:37,EWW,LONG,0.005,-1.406,-465.49,0.2,MARGINAL,sentiment_analysis,"I am pleased to nominate Christopher Landau to serve as Deputy Secretary of State. Chris will work closely with our great Secretary of State Nominee, Marco Rubio, to promote our Nation???s security an"
2024-12-06 13:00:00,USO,LONG,0.005,2.061,679.17,0.2,MARGINAL,sentiment_analysis,"Pete Hegseth is doing very well. His support is strong and deep, much more so than the Fake News would have you believe. He was a great student - Princeton/Harvard educated - with a Military state of "
2024-12-04 17:23:41,TLT,LONG,0.005,-1.5739,-261.1,0.2,MARGINAL,sentiment_analysis,"I am pleased to nominate Dr. Michael William Faulkender, of the Great State of Maryland, to serve as the Deputy Secretary of the United States Department of the Treasury. Mike is a distinguished Econo"
2024-12-10 10:31:19,DIA,LONG,0.005,-0.3836,-190.39,0.2,MARGINAL,sentiment_analysis,It was a pleasure to have dinner the other night with Governor Justin Trudeau of the Great State of Canada. I look forward to seeing the Governor again soon so that we may continue our in depth talks 
2024-12-10 10:31:32,EWW,LONG,0.005,-0.2658,-87.78,0.3,MARGINAL,sentiment_analysis,I am pleased to announce that Mark Paoletta will be returning as General Counsel of the Office of Management and Budget. Mark will work closely with our DOGE team to cut the size of our bloated Govern
2024-12-06 10:31:23,AMD,LONG,0.005,-11.9758,-1317.32,0.5,GOOD,sentiment_analysis,"???David Sacks has been an extremely successful entrepreneur and investor for 25 years, building and investing in some of the most iconic companies in Silicon Valley. He was PayPal???s founding-era CO"
2024-12-11 10:31:59,EWW,LONG,0.005,0.9531,310.32,0.2,MARGINAL,sentiment_analysis,"I am pleased to nominate Ronald (Ron) Johnson to serve as the United States Ambassador to Mexico. Ron will work closely with our great Secretary of State Nominee, Marco Rubio, to promote our Nation???"
2024-12-11 10:31:31,DIA,LONG,0.005,-1.5352,-501.44,0.4,GOOD,sentiment_analysis,"Today, I am very pleased to announce the appointment of Kimberly Guilfoyle as the United States Ambassador to Greece. For many years, Kimberly has been a close friend and ally. Her extensive experienc"
2024-12-04 16:31:49,SPY,LONG,0.005,-0.4453,-144.7,0.2,MARGINAL,sentiment_analysis,"The Wall Street Journal is becoming more and more obnoxious and unreadable. Today???s main headline is: ???Trump???s DEA Pick Pulls Out In Latest Setback.??? With all that???s happening in the World, "
2024-12-16 10:33:09,UUP,LONG,0.005,0.0197,1.6,0.2,MARGINAL,sentiment_analysis,"I am pleased to announce that Bill White will serve as the U.S. Ambassador to the Kingdom of Belgium.??Bill is a highly respected businessman, philanthropist, author, and advocate for our Nation???s M"
2024-12-16 10:31:24,AMD,SHORT,-0.005,-5.7692,-1872.05,0.2,MARGINAL,sentiment_analysis,Woman admits to totally fabricating accusations in the horrible Duke Lacrosse Case. She destroyed the lives of these young men.::
2024-12-18 10:45:56,UUP,LONG,0.005,1.1853,377.23,0.2,MARGINAL,sentiment_analysis,"I am pleased??to announce that Nicole McGraw will serve as the next United States Ambassador to Croatia.??Nicole is a philanthropist, businesswoman, and World renowned art collector. She opened her fi"
2024-12-11 04:02:00,USO,LONG,0.005,0.836,267.12,0.2,MARGINAL,sentiment_analysis,"Jacob Helberg will be the next Under Secretary of State for Economic Growth, Energy, and the Environment. In this role Jacob will be a champion of our America First Foreign Policy. He will guide State"
2024-12-23 10:32:46,UUP,LONG,0.005,-0.0363,-11.62,0.2,MARGINAL,sentiment_analysis,"I am pleased to nominate Stephen Alexander Vaden to be Deputy Secretary of the Department of Agriculture, where he will work with our Great United States Secretary of Agriculture Nominee, Brooke Rolli"
2024-12-26 10:31:45,EWW,LONG,0.005,-2.8598,-916.15,0.2,MARGINAL,sentiment_analysis,"I am pleased to announce that Kevin Marino Cabrera will serve as the United States Ambassador to the Republic of Panama, a Country that is ripping us off on the Panama Canal, far beyond their wildest "
2024-12-26 10:33:51,UUP,LONG,0.005,-0.0704,-22.33,0.2,MARGINAL,sentiment_analysis,"Merry Christmas to all, including to the wonderful soldiers of China, who are lovingly, but illegally, operating the Panama Canal (where we lost 38,000 people in its building 110 years ago), always ma"
2024-12-20 04:00:00,AMD,LONG,0.0015,9.8513,1559.83,0.2,MARGINAL,sentiment_analysis,"The very unpopular ???Congressman??? from Texas, Chip Roy, is getting in the way, as usual, of having yet another Great Republican Victory - All for the sake of some cheap publicity for himself. Repub"
